"bankmsb","banklsb","prog","gname","tname"
81,0,32,"","12 String Guitar"
81,0,33,"","Clang Guitar"
81,0,34,"","Stratomaster PJ"
81,0,35,"","That's Funky"
81,0,36,"","China Guitar"
81,0,37,"","Reso Strat"
81,0,38,"","Big Country"
81,0,39,"","Velo Crunch"
81,0,40,"","Fretless Bass"
81,0,41,"","Woody Bass"
81,0,42,"","Velo - Switch Bass"
81,0,43,"","Slap Bass"
81,0,44,"","Pick Bass"
81,0,45,"","Fingered Bass"
81,0,46,"","Flubber Bass"
81,0,47,"","House Bass"
81,0,48,"","Rubber Bass"
81,0,49,"","Big Stick Bass"
81,0,50,"","Wiry Sync Bass"
81,0,51,"","A Funk Bass 1"
81,0,52,"","A Funk Bass 2"
81,0,53,"","Techno Bass"
81,0,54,"","Structure Bass"
81,0,55,"","Mega Mono Bass"
81,0,56,"","Warm Vibe"
81,0,57,"","Marimba"
81,0,58,"","Night Karimba"
81,0,59,"","Perc Stab"
81,0,60,"","Harlequin 990"
81,0,61,"","Cow Vibes"
81,0,62,"","Ethnic"
81,0,63,"","AfricaMetals"
81,0,64,"","JD -T.Chimes"
81,0,65,"","Wave Bells"
81,0,66,"","Tria Bells"
81,0,67,"","Lite Delay"
81,0,68,"","Like Dee"
81,0,69,"","Reincarnate"
81,0,70,"","Fantasy Bell"
81,0,71,"","Ring Chimes"
81,0,72,"","Brass Section"
81,0,73,"","Brass Mix"
81,0,74,"","French Horn"
81,0,75,"","Bad Wolf Horn"
81,0,76,"","Wagner Chorale"
81,0,77,"","Analog Brass 2"
81,0,78,"","Brass Vel.Fall"
81,0,79,"","Sax Tpt Tbn"
81,0,80,"","Trumpet Solo"
81,0,81,"","Harmon Mute"
81,0,82,"","Trombone Solo"
81,0,83,"","Alto Sax"
81,0,84,"","Tenor Sax"
81,0,85,"","Inimate Flute"
81,0,86,"","Mellowtron Flute"
81,0,87,"","Panhandler"
81,0,88,"","Fusion Solo"
81,0,89,"","Tap Sequence"
81,0,90,"","Wavy Flutone"
81,0,91,"","KoreanTongPoo"
81,0,92,"","Lyric Flute Solo"
81,0,93,"","BandSaxVoice"
81,0,94,"","Saw Lead"
81,0,95,"","Bubbly Lead"
81,0,96,"","990 String"
81,0,97,"","Pizzicato"
81,0,98,"","Soaring Strings"
81,0,99,"","Silky Strings"
81,0,100,"","Carry on it"
81,0,101,"","B/V's Oooze"
81,0,102,"","Dreaming Time"
81,0,103,"","Waveola Vox Rize"
81,0,104,"","Tangerine"
81,0,105,"","Twinking String"
81,0,106,"","Strat'O'Dreams"
81,0,107,"","Euro E.Piano"
81,0,108,"","Betazoid Harp"
81,0,109,"","Glory"
81,0,110,"","Orgatoron"
81,0,111,"","Oasis"
81,0,112,"","WinterVox"
81,0,113,"","From Far East"
81,0,114,"","Macho Swell"
81,0,115,"","R - Mod Brass Pad"
81,0,116,"","The Pad"
81,0,117,"","Story Pad"
81,0,118,"","Hybrid Poly Syn"
81,0,119,"","JX Sweepee"
81,0,120,"","Let's Dance !!"
81,0,121,"","GreatExpectation"
81,0,122,"","Letting Go"
81,0,123,"","Aqueous Strings"
81,0,124,"","CybermetricEmpire"
81,0,125,"","Kalahari"
81,0,126,"","Passing Asteroid"
81,0,127,"","PinkBomb"
