"bankmsb","banklsb","prog","gname","tname"
121,1,061,"GM2","Brass 2"
121,1,062,"GM2","Pro Brass"
121,1,063,"GM2","SynBrass sfz"
121,1,080,"GM2","MG Square"
121,1,081,"GM2","OB2 Saw"
121,1,084,"GM2","Wire Lead"
121,1,087,"GM2","Delayed Lead"
121,1,089,"GM2","Sine Pad"
121,1,091,"GM2","Itopia"
121,1,098,"GM2","Syn Mallet"
121,1,102,"GM2","Echo Bell"
121,1,104,"GM2","Sitar 2"
121,1,107,"GM2","Taisho Koto"
121,1,115,"GM2","Castanets"
121,1,116,"GM2","Concert BD"
121,1,117,"GM2","Melo. Tom 2"
121,1,118,"GM2","808 Tom"
121,1,119,"GM2","Elec Perc"
121,1,120,"GM2","Gt.Cut Noise"
121,1,121,"GM2","Fl.Key Click"
121,1,122,"GM2","Rain"
121,1,123,"GM2","Dog"
121,1,124,"GM2","Telephone 2"
121,1,125,"GM2","Car-Engine"
121,1,126,"GM2","Laughing"
121,1,127,"GM2","Machine Gun"
121,2,000,"GM2","European Pf"
121,2,004,"GM2","FM+SA EP"
121,2,005,"GM2","St.FM EP"
121,2,006,"GM2","Harpsi.w"
121,2,014,"GM2","Carillon"
121,2,016,"GM2","60's Organ 1"
121,2,017,"GM2","Perc. Organ"
121,2,019,"GM2","Church Org.3"
121,2,024,"GM2","Nylon Gt.o"
121,2,025,"GM2","Mandolin"
121,2,027,"GM2","Mid Tone GTR"
121,2,028,"GM2","Funk Gt.2"
121,2,030,"GM2","Dist Rtm GTR"
121,2,038,"GM2","Acid Bass"
121,2,039,"GM2","RubberBass 2"
121,2,048,"GM2","60s Strings"
121,2,055,"GM2","6th Hit"
121,2,057,"GM2","Bright Tb"
121,2,062,"GM2","Oct SynBrass"
121,2,063,"GM2","Velo Brass 1"
121,2,080,"GM2","2600 Sine"
121,2,081,"GM2","Doctor Solo"
121,2,102,"GM2","Echo Pan"
121,2,120,"GM2","String Slap"
121,2,122,"GM2","Thunder"
121,2,123,"GM2","Horse-Gallop"
121,2,124,"GM2","DoorCreaking"
121,2,125,"GM2","Car-Stop"
121,2,126,"GM2","Screaming"
121,2,127,"GM2","Lasergun"
121,3,004,"GM2","60's Rhodes"
121,3,005,"GM2","EP Legend"
121,3,006,"GM2","Harpsi.o"
121,3,016,"GM2","70's E.Organ"
121,3,024,"GM2","Nylon Gt.2"
121,3,025,"GM2","Steel + Body"
121,3,028,"GM2","Jazz Man"
121,3,038,"GM2","Clavi Bass"
121,3,039,"GM2","Attack Pulse"
121,3,055,"GM2","Euro Hit"
121,3,062,"GM2","Jump Brass"
121,3,081,"GM2","Natural Lead"
121,3,122,"GM2","Wind"
121,3,123,"GM2","Bird 2"
121,3,124,"GM2","Door"
121,3,125,"GM2","Car-Pass"
121,3,126,"GM2","Punch"
121,3,127,"GM2","Explosion"
121,4,005,"GM2","EP Phase"
121,4,038,"GM2","Hammer"
121,4,081,"GM2","SequencedSaw"
121,4,122,"GM2","Stream"
121,4,124,"GM2","Scratch"
121,4,125,"GM2","Car-Crash"
121,4,126,"GM2","Heart Beat"
121,5,122,"GM2","Bubble"
121,5,124,"GM2","Wind Chimes"
121,5,125,"GM2","Siren"
121,5,126,"GM2","Footsteps"
121,6,125,"GM2","Train"
121,7,125,"GM2","Jetplane"
121,8,125,"GM2","Starship"
121,9,125,"GM2","Burst Noise"
87,64,000,"AC.PIANO","So true..."
87,64,001,"AC.PIANO","ConcertPiano"
87,64,002,"AC.PIANO","Warm Piano"
87,64,003,"AC.PIANO","Warm Pad Pno"
87,64,004,"AC.PIANO","Warm Str Pno"
87,64,005,"AC.PIANO","BealeSt Walk"
87,64,006,"AC.PIANO","Rapsody"
87,64,007,"AC.PIANO","JD-800 Piano"
87,64,008,"AC.PIANO","SA Dance Pno"
87,64,009,"AC.PIANO","FS E-Grand"
87,64,010,"AC.PIANO","FS Blend Pno"
87,64,011,"AC.PIANO","LA Piano"
87,64,012,"EL.PIANO","FS Rhodes"
87,64,013,"EL.PIANO","StageRhdTrem"
87,64,014,"EL.PIANO","Back2the60s"
87,64,015,"EL.PIANO","Tine Rhodes"
87,64,016,"EL.PIANO","LEO Rhodes"
87,64,017,"EL.PIANO","LonesomeRoad"
87,64,018,"EL.PIANO","Age’n’Tines"
87,64,019,"EL.PIANO","Brill TremEP"
87,64,020,"EL.PIANO","Crystal Rhd"
87,64,021,"EL.PIANO","Celestial EP"
87,64,022,"EL.PIANO","Spirit Tines"
87,64,023,"EL.PIANO","Psycho EP"
87,64,024,"EL.PIANO","Mk2 Stg phsr"
87,64,025,"EL.PIANO","SA Stacks"
87,64,026,"EL.PIANO","Backing PhEP"
87,64,027,"EL.PIANO","Balladeer"
87,64,028,"EL.PIANO","Remember"
87,64,029,"EL.PIANO","FS Wurly"
87,64,030,"EL.PIANO","Wurly Trem"
87,64,031,"EL.PIANO","Super Wurly"
87,64,032,"EL.PIANO","Pulse EPno"
87,64,033,"EL.PIANO","Fonky Fonky"
87,64,034,"EL.PIANO","FM Rhodes"
87,64,035,"EL.PIANO","FM-777"
87,64,036,"EL.PIANO","FM EPad"
87,64,037,"KEYBOARDS","D6 Clavi"
87,64,038,"KEYBOARDS","Cutter Clavi"
87,64,039,"KEYBOARDS","FS Clavi"
87,64,040,"KEYBOARDS","Funky D"
87,64,041,"KEYBOARDS","Phase Clavi"
87,64,042,"KEYBOARDS","BPF Clavi Ph"
87,64,043,"KEYBOARDS","Pulse Clavi"
87,64,044,"KEYBOARDS","Analog Clavi"
87,64,045,"KEYBOARDS","Reso Clavi"
87,64,046,"KEYBOARDS","Harpsy Clavi"
87,64,047,"KEYBOARDS","FS Harpsi"
87,64,048,"KEYBOARDS","Amadeus"
87,64,049,"KEYBOARDS","FS Celesta"
87,64,050,"BELL","FS Glocken"
87,64,051,"BELL","Music Bells"
87,64,052,"BELL","FS Musicbox"
87,64,053,"BELL","MuBox Pad"
87,64,054,"BELL","Kalimbells"
87,64,055,"BELL","Himalaya Ice"
87,64,056,"BELL","Dreaming Box"
87,64,057,"BELL","Step Ice"
87,64,058,"BELL","FS Bell 1"
87,64,059,"BELL","FS Bell 2"
87,64,060,"BELL","Candy Bell"
87,64,061,"BELL","FS Chime"
87,64,062,"BELL","Bell Ring"
87,64,063,"BELL","Tubular Bell"
87,64,064,"BELL","5th Key"
87,64,065,"MALLET","Vibrations"
87,64,066,"MALLET","FS Vibe"
87,64,067,"MALLET","FS Marimba"
87,64,068,"MALLET","FS Xylo"
87,64,069,"MALLET","Ethno Keys"
87,64,070,"MALLET","Synergy MLT"
87,64,071,"MALLET","Steel Drums"
87,64,072,"MALLET","Xylosizer"
87,64,073,"MALLET","Toy Box"
87,64,074,"ORGAN","FullDraw Org"
87,64,075,"ORGAN","StakDraw Org"
87,64,076,"ORGAN","FullStop Org"
87,64,077,"ORGAN","FS Perc Org"
87,64,078,"ORGAN","Euro Organ"
87,64,079,"ORGAN","Perky Organ"
87,64,080,"ORGAN","LoFi PercOrg"
87,64,081,"ORGAN","Rochno Org"
87,64,082,"ORGAN","R&B Organ 1"
87,64,083,"ORGAN","R&B Organ 2"
87,64,084,"ORGAN","Zepix Organ"
87,64,085,"ORGAN","Peep Durple"
87,64,086,"ORGAN","FS Dist Bee"
87,64,087,"ORGAN","60’s Org 1"
87,64,088,"ORGAN","60’s Org 2"
87,64,089,"ORGAN","FS SoapOpera"
87,64,090,"ORGAN","Chapel Organ"
87,64,091,"ORGAN","Grand Pipe"
87,64,092,"ORGAN","Masked Opera"
87,64,093,"ORGAN","Pipe Org/Mod"
87,64,094,"ACCORDION","Vodkakordion"
87,64,095,"ACCORDION","Squeeze Me!"
87,64,096,"ACCORDION","Guinguette"
87,64,097,"HARMONICA","HarWonderca"
87,64,098,"HARMONICA","BluesHrp V/S"
87,64,099,"HARMONICA","Green Bullet"
87,64,100,"AC.GUITAR","SoftNyln Gtr"
87,64,101,"AC.GUITAR","FS Nylon Gt"
87,64,102,"AC.GUITAR","Wet Nyln Gtr"
87,64,103,"AC.GUITAR","Pre Mass Hum"
87,64,104,"AC.GUITAR","Thick Steel"
87,64,105,"AC.GUITAR","Uncle Martin"
87,64,106,"AC.GUITAR","Wide Ac Gtr"
87,64,107,"AC.GUITAR","Comp Stl Gtr"
87,64,108,"AC.GUITAR","Stl Gtr Duo"
87,64,109,"AC.GUITAR","FS 12str Gtr"
87,64,110,"AC.GUITAR","So good !"
87,64,111,"EL.GUITAR","Muted Gtr Pk"
87,64,112,"EL.GUITAR","StratSeq’nce"
87,64,113,"EL.GUITAR","Fixx it"
87,64,114,"EL.GUITAR","Jazz Guitar"
87,64,115,"EL.GUITAR","DynoJazz Gtr"
87,64,116,"EL.GUITAR","Wet TC"
87,64,117,"EL.GUITAR","Clean Gtr"
87,64,118,"EL.GUITAR","Crimson Gtr"
87,64,119,"EL.GUITAR","Touchee Funk"
87,64,120,"EL.GUITAR","Plug n’ Gig"
87,64,121,"EL.GUITAR","Kinda Kurt"
87,64,122,"EL.GUITAR","Nice Oct Gtr"
87,64,123,"EL.GUITAR","Strat Gtr"
87,64,124,"EL.GUITAR","JC Strat Bdy"
87,64,125,"EL.GUITAR","Twin StratsB"
87,64,126,"EL.GUITAR","BluNoteStrat"
87,64,127,"EL.GUITAR","FS Funk Gtr"
87,65,000,"EL.GUITAR","GK Dubguitar"
87,65,001,"EL.GUITAR","& Scratchee"
87,65,002,"DIST.GUITAR","Touch Drive"
87,65,003,"DIST.GUITAR","FS Chunk"
87,65,004,"DIST.GUITAR","Trem-o-Vibe"
87,65,005,"DIST.GUITAR","Nice Dist Gt"
87,65,006,"DIST.GUITAR","LP Dist"
87,65,007,"DIST.GUITAR","Hurtling Gtr"
87,65,008,"DIST.GUITAR","Searing COSM"
87,65,009,"DIST.GUITAR","FS Loud Gtr"
87,65,010,"DIST.GUITAR","FS Plugged!!"
87,65,011,"DIST.GUITAR","Punker 1"
87,65,012,"DIST.GUITAR","FS PowerChd"
87,65,013,"DIST.GUITAR","Punker 2"
87,65,014,"BASS","Ulti Ac Bass"
87,65,015,"BASS","Downright Bs"
87,65,016,"BASS","Ultimo Bass"
87,65,017,"BASS","Roomy Bass"
