"bankmsb","banklsb","prog","gname","tname"
1,0,12,"","Room 4"
1,0,13,"","Room 5"
1,0,14,"","Room 6"
1,0,15,"","Room 7"
1,0,16,"","Power"
1,0,17,"","Power 1"
1,0,18,"","Power 2"
1,0,19,"","Power 3"
1,0,24,"","Electronic"
1,0,25,"","TR-808"
1,0,32,"","Jazz"
1,0,33,"","Jazz 1"
1,0,34,"","Jazz 2"
1,0,35,"","Jazz 3"
1,0,36,"","Jazz 4"
1,0,40,"","Brush"
1,0,41,"","Brush 1"
1,0,42,"","Brush 2"
1,0,48,"","Orchestra Kit"
